Batch,Total,Techniques,Workplace,Garage,Kitchen,Hall
334,7.3589,0.915983333,2.339316667,1.586983333,1.615116667,0.9015
335,7.023566668,1.2014,1.922766667,1.549666667,1.452516667,0.897216667
336,7.410166667,1.49905,1.9223,1.548116667,1.5455,0.8952
337,7.914466666,1.473983333,2.401033333,1.58325,1.45365,1.00255
338,7.524083333,1.4935,2.360233333,1.541783333,1.06895,1.059616667
339,9.279800001,1.450216667,2.291866667,1.541916667,2.38005,1.61575
340,9.073099999,1.447033333,1.924883333,1.830883333,2.23375,1.63655
341,8.1015,1.49065,1.713266667,2.361783333,0.937716667,1.598083333
342,7.771366667,1.445316667,0.573383333,2.873016667,0.96155,1.9181
343,9.188066667,1.454933333,0.532033333,2.830566667,1.970966667,2.399566667
344,7.915733335,1.456066667,0.656866667,1.586866667,2.189266667,2.026666667
345,7.31175,1.356516667,0.703666667,1.7947,2.322933333,1.133933333
346,7.224033333,1.319783333,0.651483333,1.696616667,2.474,1.08215
347,6.9311,0.795516667,0.63985,1.869933333,2.731216667,0.894583333
348,6.754383333,0.9053,0.5272,1.6131,2.8138,0.894983333
349,7.257616666,1.375633333,0.64155,1.919283333,2.428033333,0.893116667
350,7.7083,1.453033333,0.572816667,2.3338,2.458316667,0.890333333
351,8.318566667,1.452683333,0.574666667,2.542666667,2.858266667,0.890283333
352,9.237983333,1.447116667,0.623333333,2.361533333,3.907183333,0.898816667
353,8.422066667,1.397066667,0.727233333,2.048416667,3.262283333,0.987066667
354,8.456533333,1.11005,1.2211,2.574266667,2.636783333,0.914333333
355,7.952633334,0.912616667,1.317716667,1.945383333,2.556016667,1.2209
356,7.671816666,0.517433333,1.385433333,1.913933333,2.638166667,1.21685
357,8.389583333,0.3052,2.37985,1.853216667,2.555083333,1.296233333
358,8.040833334,0.303566667,2.360633333,1.806266667,2.173166667,1.3972
359,6.47735,0.3029,0.615583333,1.315416667,2.678083333,1.565366667
360,6.739283333,0.343533333,0.609816667,1.192633333,3.264533333,1.328766667
361,5.497333333,0.36665,0.5365,1.193033333,2.51035,0.8908
362,6.456666667,0.502316667,1.664683333,1.3178,2.07165,0.900216667
363,6.330266667,0.594316667,2.126583333,1.336516667,1.30845,0.9644
364,5.7084,0.939066667,1.0156,1.467733333,1.24745,1.03855
365,4.848966667,0.990366667,0.53355,1.41605,0.8425,1.0665
366,6.181583333,1.4998,0.536683333,1.909716667,0.6769,1.558483333
367,5.966966667,1.1464,0.536216667,2.069383333,0.652616667,1.56235
368,5.525166665,1.085033333,0.586633333,2.041383333,0.643483333,1.168633333
369,5.461750001,1.0463,0.684166667,2.019916667,0.621,1.090366667
370,5.88815,0.994083333,1.187466667,2.01595,0.5819,1.10875
371,5.473666666,0.5801,1.274883333,2.0042,0.4419,1.172583333
372,5.316700001,0.470716667,1.254116667,1.986866667,0.349916667,1.255083333
